name
6eme Avenue
AAR Corp.
AB Volvo
ACCO Brands Corporation Advantest Corporation Agfa-Gevaert N.V.
"Ainsworth Game Technology Ltd. Aisin Seiki Co., Ltd. "
"Aisin Seiki Co., Ltd."
"Amino Technologies plc Anixter International Inc. Applied Materials, Inc. Arctic Cat Inc. "
Anixter International Inc.
"ARRIS Group, Inc."
Aruba Networks Inc.
ASML Holding NV
Astro Corporation
Atos Origins
"Autohaus Albert Brunsteiner GmbH Autoliv, Inc. "
"Applied Materials, Inc."
Automag Buchner+Linse GmbH & Co. KG Bacon Universal Company Inc.
BAE SYSTEMS plc
"Barracuda Networks, Inc. "
Baxter International Inc.
Bayer AG
"Becton, Dickinson and Company Beverly Hills BMW Ltd"
"Bio-Rad Laboratories, Inc."
Black Box Corporation
BMW Mirabeau
BMW of Austin
Bobst Group SA
"Boeing Company, The"
BorgWarner Inc.
Braman Management Association
"C.R. Bard, Inc."
Caesars Entertainment Corporation Calsonic Kansei Corporation
Cashman Equipment Company Charles Pozzi Automobiles
Checkpoint Software Technologies Ltd. China Wireless Technologies Limited Ciena Corporation
Cobra Electronics
"Coinstar, Inc."
"CommScope, Inc."
Continental AG 
"Control Solutions, Inc. Covidien Ltd."
"Cox Communications, Inc. Creative Technology Ltd. Critz BMW "
"Curtiss-Wright Corporation D&M Holdings, Inc. Danaher Corporation"
"Dave & Buster's, Inc."
Denso Corporation DENTSPLY International Inc Deutsche Telekom 
"Diebold, Inc."
DJO Incorporated
"Doosan Infracore Co., Ltd"
Dot Hill Systems Corp.
Dover Corporation
"Dreyer & Reinbold, Inc."
Electrolux AB
"Elitegroup Computer Systems Co., Ltd. Embraer-Empresa Brasileira de Aeronautica S.A. EMC Corporation"
Emerson Electric Co.
Empire Southwest LLC
"F5 Networks, Inc."
Fanuc Corporation
Fiat S.p.A.
First Horizon National Corporation
"First International Computer, Inc."
"Fuji Electric Holdings Co., Ltd."
"Furukawa Co., Ltd."
General Motors Corporation
Getinge AB
Glory Ltd.
"Goldcom, Inc."
"GoPro, Inc."
Grande Holdings Limited
"GreenSouth Equipment, Inc."
Guillemot Corporation S.A.
"Guitar Center, Inc."
Harris Corporation
"Henry Schein, Inc."
"Heritage Tractor, Inc."
"Hitachi, Ltd."
"Hogan Walker, L.L.C."
"Hologic, Inc."
"Honeywell International, Inc. "
"Illumina, Inc."
InFocus Corporation
Ingenico S.A.
"Intuitive Surgical, Inc."
Invacare Corporation
Isuzu Motors Limited
J E Buckle Engineers Ltd
"Jack Henry & Associates, Inc. Jasco Products Company"
Jeol LTD
"Kawasaki Heavy Industries, Ltd. Kingston Technology Company, Inc. Konami Corporation"
KONE Corporation
Kubota Corporation
"L-3 Communications Holdings, Inc. LeapFrog Enterprises, Inc"
Legrand S.A.
Lhermite Agricole SAS
"Lockheed Martin Corporation Logitech International, S.A."
Magna International Inc.
Manitou B.F.
"Manitowoc Company, Inc."
Mazda Motor Corporation Mettler-Toledo
MGM Mirage
"Micron Technology, Inc."
Microsoft Corporation
Millipore Corporation
"Mimaki Engineering Co., Ltd. MiTAC International Corporation Mitsubishi Electric Corporation Mitsubishi Heavy Industries, Ltd. Mitsubishi Motors Corporation Mohegan Tribal Gaming Authority Mouser Electronics, Inc."
"Musician's Friend, Inc."
"Mustek Systems, Inc."
"Mutoh Holdings Co., Ltd."
National Instruments Corp.
Navistar International
"Nissan Motor Co., Ltd."
"Noritsu Koki Co., Ltd."
Novomatic AG
Numerex Corp.
"Oki Electric Industry Co., Ltd. "
Omron Corporation
Oshkosh Truck Corporation
"Overland Storage, Inc."
P. Tuckwell Limited
"Penn National Gaming, Inc."
Pioneer Corporation
"Planar Systems, Inc."
"Plantronics, Inc."
"Polycom, Inc."
Proview International Holdings Limited PSA Peugeot Citroen SA
R. Hunt Limited
"Richardson Electronics, Ltd."
"Ricoh Company, Ltd."
"Rohde & Schwarz GmbH & Co. KG Ruckus Wireless, Inc."
Safran
"Sakar International, Inc."
Sandia Automotive Corp
SATO Corporation
"ScanSource, Inc."
Schlumberger Limited
"Schultz Communications, Inc"
Shimadzu Corporation
"Singapore Technologies Engineering Ltd. SonoSite, Inc."
Spirent Communications plc
Station Casinos Inc.
Sweetwater Sound Inc.
"Sykes Enterprises, Incorporated"
TCL Corporation
Telecom Italia S.p.A.
Teledyne Technologies
Teleflex Incorporated
"Teradyne, Inc."
Terex Corporation
Time Warner Inc.
TRW Automotive Holdings Corp.
"Unique Squared, Inc."
Universal Electronics Inc.
"UTStarcom, Inc."
Valeant Pharmaceuticals International Inc. Valeo
VeriFone Holding
"Verint Systems, Inc."
Virgin Group Ltd.
VIZIO Inc. 
